mz	rt	intensity
59.98388277	1.42869997	1181.78418
59.98415824	5.512000084	2339.835693
59.98449566	5.740483284	1213.740234
59.98469416	3.498833418	1135
59.98477292	1.485783339	1221.518555
59.98487357	6.625583172	1006.356262
59.98492663	3.456016779	1467.401123
59.98509472	3.541749954	1637.312256
59.98512258	2.528049946	1738
59.9852037	2.228216648	1719.487305
59.98520778	2.899250031	2494.602783
59.98527269	1.071766615	5055.562012
59.98528974	2.470966578	2399.506592
60.01555763	21.97338295	1397
60.0171768	16.11974907	1028.364014
60.01887096	21.95911598	1185
61.98809352	1.21449995	9982.259766
74.02392022	1.271600008	1477
78.95896268	1.128866673	22311
79.9572703	1.043216705	1487
85.02934816	1.028933287	2346
92.92769952	1.185950041	9467
94.03000218	2.956350088	2173.027832
94.92459759	1.185950041	6550
96.9211737	1.185950041	1669
96.96046076	1.086033344	61288.17188
98.95549128	1.114583373	4789
102.055455	1.271600008	1723
102.9561407	1.20023334	1525
103.0395599	1.328766704	3699.953125
107.0493895	7.068133354	9275
107.0497943	7.125233173	8129
107.0498905	4.669650078	2791
107.0503693	2.984883308	1451
108.0452093	3.884316683	1296
108.9015348	1.185950041	2512.940186
109.0291039	3.998616695	4078.7229
110.8986793	1.185950041	2450
111.0080786	1.000399947	3662
111.0085188	1.128866673	7358
111.0195623	1.942649961	1274
112.015311	1.557150006	1391
112.0510389	1.885550022	2083.641113
112.0514997	1.771366715	125319.8281
112.9845404	21.98766708	1469.173828
112.9854295	1.243049979	1742.412598
112.9863319	21.94485092	1356.183594
112.9884953	22.21615028	1085
115.0396728	1.557150006	2064.400146
115.9209519	22.81570053	1408.651123
116.0463035	1.285866618	2223
116.0716519	1.585700035	1885
116.9720305	1.20023334	2686
117.0545836	1.771366715	3290
117.0556767	1.685616612	3358
118.0510006	1.257316709	2416
118.9693682	1.20023334	1027
119.0347852	1.257316709	8878.675781
121.0293061	2.470966578	5758.854004
121.0295468	6.025933266	1235
123.0451989	6.340033531	1424
123.0560307	2.642233372	1114
124.0070461	1.21449995	3638
124.015339	1.371600032	2155
124.0402011	2.699333429	2683
124.9903494	1.21449995	1603
125.0236484	3.356100082	1707.541748
125.0244278	3.927233219	5175
126.0196511	1.257316709	1760
127.0010891	1.228783369	9575.078125
127.00114	21.97338295	1107
127.0398687	1.628516674	3383
127.0505413	1.271600008	2505
128.0353178	1.285866618	41631.87109
129.0185619	1.343050003	2488.399902
129.0190177	1.014666677	9122
129.0386563	1.285866618	2667
129.0550008	4.398366451	1747.549072
130.0664531	4.92658329	1272
130.0870018	2.442416668	1245
130.0871724	2.613699913	4871
131.0345927	1.271600008	1477
131.071181	2.17111659	1842
132.9224726	22.7871666	1101.098633
132.9227606	22.68725014	1168.800171
133.0498679	1.328766704	2982
133.0502204	1.414416671	5097
133.0504788	1.271600008	19745
133.050691	1.500066638	15975
134.0604838	4.612566471	1977.833862
134.060757	4.426916599	17412.97461
135.0294512	1.171683311	4313
135.0312506	2.399499893	8253.75
137.0353805	3.613116741	1013
137.0357197	2.242483377	4106.697754
138.0192517	2.999166727	2034.759277
138.0222457	1.271600008	1489.324219
138.0553503	3.141900063	1538
138.0558043	5.126516819	6321.608398
139.039059	2.313849926	1092
139.0510397	1.500066638	1578
141.0153933	22.43025017	1275.900391
141.0159495	22.34460068	1558.502563
141.0164136	21.95911598	1590.161621
141.0168496	1.21449995	18690.74023
141.0193114	1.628516674	2025.400024
142.0510873	1.500066638	1162
