mz	rt	intensity
53.03806	6.9	1691
58.06470	1.3	5274
61.03925	1.9	10738
61.03934	1.4	29448
61.03937	1.6	15199
61.03953	1.3	89650
68.98171	1.1	1071
72.08047	1.5	5351
76.07541	1.3	13610
77.03753	6.9	2027
81.03347	4.6	2028
84.04407	2.2	2490
84.95943	1.1	5932
86.05952	2.2	4981
86.06005	3.3	9319
86.09573	3.0	1508
86.09622	2.0	8086
86.99225	1.1	1455
94.06403	1.4	7241
94.06456	1.5	4884
94.06463	1.3	8011
94.06473	1.7	1913
95.01250	4.4	10842
95.06059	1.5	2078
96.04400	2.3	2218
96.04444	2.1	3050
96.92133	1.2	1086
102.09038	1.8	1727
102.12648	22.0	3034
102.12699	21.5	3373
102.12705	6.7	4308
102.12710	18.3	4040
102.12722	6.8	4495
102.12724	7.2	3722
102.12731	6.6	3065
102.12734	7.5	3277
102.12740	7.3	6603
102.12838	7.7	1876
102.12937	21.4	3405
102.96996	1.1	2506
104.07006	1.2	1341
104.10699	1.2	19541
105.03297	7.0	7538
105.03321	6.9	110475
106.03636	7.0	10266
108.07992	1.9	1840
108.08018	1.8	3554
109.02786	6.7	2714
110.05937	1.6	5039
110.05963	2.1	1967
110.05992	1.6	54043
110.07111	1.2	2932
111.06315	1.6	4014
112.03882	2.2	1690
112.03910	2.1	10284
112.05029	3.1	2092
112.08651	3.1	2933
112.89536	5.1	3089
112.89542	1.2	11519
113.13154	23.8	4074
114.06549	1.7	3399
114.06562	1.9	2682
114.06616	1.4	12981
114.06628	1.3	510438
114.89297	1.2	4914
115.03893	2.5	1502
115.04985	1.8	4065
115.06908	1.3	43145
115.07448	6.0	1587
116.07028	2.5	12166
116.10576	1.5	1903
116.10633	1.4	26620
116.10659	1.2	1800
116.10669	2.5	3997
116.10672	2.7	16575
116.10710	2.8	2387
117.10933	2.7	1678
118.06113	1.2	8687
118.08585	1.7	1537
118.08599	1.2	53560
119.01820	1.1	1659
119.08943	1.2	4250
120.04379	5.3	4868
120.06500	1.5	10169
120.06546	1.2	3369
120.08069	4.4	23379
121.02783	7.8	11682
121.02790	4.8	11955
121.02804	5.3	9967
121.03926	2.5	7988
121.06447	3.0	3144
121.07126	1.3	3146
121.08358	4.4	2609
122.09518	3.1	1201
122.09605	2.7	5730
122.09628	3.1	1360
122.92388	1.1	3796
123.04374	6.1	2880
123.05510	1.8	2925
123.05619	6.7	5408
123.08900	3.7	1382
123.09048	3.8	2453
123.09050	2.9	2664
123.09082	3.6	2534
123.09122	3.5	2619
123.09123	3.4	2999
123.09123	3.3	2999
123.09131	2.8	1337
123.09138	3.2	2208
123.09192	2.8	1227
123.09239	3.2	1687
123.09279	3.0	1248
124.03926	4.4	16939
124.07551	2.2	11237
