mz	rt	intensity
371.098304	0.05	134
371.310628	0.09	546
1192.466693	0.13	53
1301.789092	0.18	33
357.275295	0.22	214
1164.12015	0.27	53
1265.897858	0.27	53
1263.762348	0.31	87
1281.422844	0.31	58
355.264549	0.36	107
371.098304	0.44	107
371.098304	0.62	382
372.31863	0.62	187
445.113935	0.76	134
371.100665	0.98	294
355.072493	1.07	134
391.282617	1.07	428
403.302085	1.07	241
372.102564	1.33	107
392.286183	1.33	160
403.312434	1.33	107
371.315421	1.42	724
371.100532	1.47	214
372.318266	1.6	187
372.315687	2.04	187
355.067042	2.13	134
371.100532	2.13	214
391.282312	2.18	374
403.310152	2.18	134
355.067306	2.35	107
372.094259	2.4	107
372.320498	2.4	187
365.104368	2.49	160
371.100376	2.49	214
372.320704	2.71	187
393.29431	2.75	214
351.246223	2.89	107
355.069553	2.93	160
387.148687	2.93	214
372.320702	2.98	160
413.26426	2.98	214
391.284803	6.22	160
391.282008	6.62	214
372.317687	6.7	107
391.282008	6.84	134
445.110662	7.15	80
372.31566	7.24	187
371.100688	7.46	187
372.318291	7.46	160
372.318051	7.77	160
371.098081	8.13	216
372.318124	8.26	214
435.231021	8.44	107
445.119478	8.44	80
462.764492	8.44	80
608.760421	8.44	107
352.688809	8.48	321
363.182361	8.48	187
467.737772	8.48	214
468.232912	8.48	160
391.282467	8.53	374
392.283635	8.53	107
352.189567	8.57	797
433.720533	8.57	321
455.251344	8.57	553
465.275805	8.57	267
465.774933	8.57	107
703.368691	8.57	214
704.376008	8.57	80
353.193123	8.61	160
371.101057	8.61	241
421.757427	8.61	187
456.253488	8.61	134
364.721791	8.66	160
385.214204	8.66	160
416.256892	8.66	160
455.748855	8.66	374
479.789838	8.66	160
582.279171	8.66	134
479.291074	8.7	267
352.688199	8.75	134
434.220304	8.75	107
438.230542	8.75	214
438.731287	8.75	107
496.240149	8.75	134
520.774366	8.75	636
367.192232	8.79	241
367.692547	8.79	187
401.218485	8.79	187
443.770235	8.79	433
444.276845	8.79	241
453.217289	8.79	160
459.251327	8.79	134
467.246428	8.79	107
472.280971	8.79	848
472.787725	8.79	466
473.282456	8.79	187
521.277762	8.79	374
521.780102	8.79	134
537.763293	8.79	214
717.296991	8.79	107
717.793189	8.79	107
359.179372	8.84	241
359.680236	8.84	160
371.098404	8.84	214
392.286624	8.84	134
468.241961	8.84	107
519.294843	8.84	134
402.212949	8.88	107
404.713198	8.88	160
405.218711	8.88	107
415.709589	8.88	134
476.280983	8.88	214
503.268643	8.88	358
503.768952	8.88	160
555.101337	8.88	107
786.438165	8.88	160
353.692651	8.92	241
363.201057	8.92	134
370.54006	8.92	134
393.721147	8.92	1522
394.220398	8.92	577
394.725498	8.92	214
423.265479	8.92	107
434.974443	8.92	107
435.738183	8.92	294
555.311198	8.92	107
664.355831	8.92	241
665.364948	8.92	107
705.370015	8.92	241
350.680511	8.97	160
352.184527	8.97	160
353.193218	8.97	632
356.191579	8.97	53
357.219313	8.97	214
364.187212	8.97	107
373.205101	8.97	1435
373.704801	8.97	850
374.207218	8.97	187
374.707539	8.97	53
375.684537	8.97	107
376.200509	8.97	214
384.194062	8.97	187
392.712085	8.97	134
409.702235	8.97	53
432.220752	8.97	187
434.223595	8.97	80
451.255317	8.97	321
470.746485	8.97	134
486.2612	8.97	160
502.764914	8.97	610
509.251358	8.97	134
518.256395	8.97	187
538.264694	8.97	134
584.303912	8.97	80
746.397989	8.97	187
366.688399	9.01	134
371.103878	9.01	134
375.186751	9.01	160
381.200751	9.01	134
395.702185	9.01	80
423.701634	9.01	107
467.240723	9.01	107
471.24604	9.01	134
555.09887	9.01	134
619.784778	9.01	134
745.394586	9.01	241
350.677966	9.06	134
359.688378	9.06	134
408.228496	9.06	107
409.202419	9.06	107
455.732289	9.06	294
488.317205	9.06	267
577.95192	9.06	107
619.281446	9.06	241
358.70291	9.1	107
363.732313	9.1	160
365.194038	9.1	187
366.183087	9.1	187
370.208825	9.1	187
371.315354	9.1	689
381.198249	9.1	107
394.708421	9.1	107
394.733684	9.1	75.98
405.22213	9.1	107
410.689941	9.1	134
454.772803	9.1	214
518.26287	9.1	80
620.280456	9.1	134
811.454842	9.1	134
353.190178	9.15	214
357.192452	9.15	267
369.168539	9.15	160
372.324018	9.15	160
378.203628	9.15	134
385.224979	9.15	23.06
385.252709	9.15	241
393.723744	9.15	241
402.198835	9.15	214
405.687714	9.15	210.03
405.727555	9.15	2536
406.192315	9.15	64.13
406.229333	9.15	1224
406.725968	9.15	410
421.221435	9.15	134
452.757211	9.15	134
456.733079	9.15	699
457.234445	9.15	294
543.397302	9.15	428
608.759655	9.15	160
609.259799	9.15	134
619.781978	9.15	160
810.44298	9.15	326
375.235815	9.19	197
376.698709	9.19	140
380.219612	9.19	169
407.232545	9.19	112
408.22274	9.19	169
423.21024	9.19	253
428.210249	9.19	112
432.694359	9.19	84
457.736586	9.19	112
466.254466	9.19	84
480.756237	9.19	140
489.322118	9.19	112
544.40235	9.19	112
557.776992	9.19	169
575.323229	9.19	56
359.197724	9.24	80
366.696684	9.24	160
370.214004	9.24	134
371.101115	9.24	187
372.198624	9.24	107
373.278587	9.24	241
373.709311	9.24	187
375.184099	9.24	107
380.716384	9.24	160
391.710939	9.24	485
401.213641	9.24	107
402.286449	9.24	160
409.202455	9.24	107
411.243287	9.24	160
415.726148	9.24	496
416.228314	9.24	374
416.716613	9.24	241
419.243035	9.24	187
430.220098	9.24	107
431.719131	9.24	107
459.255313	9.24	107
459.761091	9.24	160
460.256659	9.24	107
467.717277	9.24	106.67
467.753944	9.24	214
468.240452	9.24	134
472.280495	9.24	160
476.746796	9.24	241
558.275974	9.24	107
571.347565	9.24	407
578.291207	9.24	80
599.814456	9.24	134
673.421529	9.24	160
373.202525	9.28	353
376.183589	9.28	160
399.550862	9.28	267
399.883437	9.28	187
401.284314	9.28	490
438.234414	9.28	134
455.733344	9.28	107
509.243525	9.28	160
572.350581	9.28	160
598.818773	9.28	267
609.252996	9.28	107
352.189734	9.32	432
352.521843	9.32	214
354.704619	9.32	160
357.700244	9.32	214
390.199615	9.32	134
391.204598	9.32	894
393.721103	9.32	214
398.210367	9.32	428
402.218972	9.32	134
403.712929	9.32	361
412.190423	9.32	134
420.70443	9.32	134
436.224182	9.32	134
445.727862	9.32	134
451.747088	9.32	134
473.297971	9.32	214
502.7665	9.32	107
527.786674	9.32	410
528.281829	9.32	214
555.095885	9.32	160
556.786411	9.32	80
567.282011	9.32	80
599.314837	9.32	160
697.225203	9.32	80
358.700316	9.37	107
365.188432	9.37	160
366.199392	9.37	160
385.202081	9.37	187
395.2044	9.37	134
400.223676	9.37	107
402.717297	9.37	134
403.208482	9.37	107
404.216115	9.37	267
413.199028	9.37	160
416.727128	9.37	160
420.223515	9.37	107
430.730723	9.37	80
432.209694	9.37	107
433.72077	9.37	134
434.97766	9.37	80
440.729942	9.37	107
451.269659	9.37	134
477.746365	9.37	877
478.744652	9.37	187
480.761245	9.37	160
482.236684	9.37	214
488.241723	9.37	294
499.225573	9.37	134
536.241446	9.37	27.94
536.28398	9.37	107
557.266583	9.37	80
583.76685	9.37	558
584.768485	9.37	107
640.337049	9.37	160
781.401097	9.37	160
351.178082	9.41	80
353.195354	9.41	160
353.690002	9.41	294
356.191482	9.41	214
374.195843	9.41	241
387.202281	9.41	160
389.181235	9.41	752
389.848044	9.41	267
409.731417	9.41	107
411.684124	9.41	241
426.897326	9.41	214
444.226358	9.41	107
447.2271	9.41	107
453.219629	9.41	160
456.733526	9.41	160
466.76138	9.41	187
476.24309	9.41	324
477.243132	9.41	1666
478.246406	9.41	353
480.263408	9.41	376
510.256334	9.41	80
525.721862	9.41	214
531.74918	9.41	160
557.775235	9.41	107
584.268761	9.41	294
595.261955	9.41	80
603.349333	9.41	107
639.33018	9.41	383
639.837561	9.41	267
806.424331	9.41	80
953.476426	9.41	80
352.696602	9.46	134
357.189431	9.46	80
383.178391	9.46	294
389.512985	9.46	579
398.709567	9.46	107
402.206955	9.46	107
405.683171	9.46	214
412.69946	9.46	107
426.558382	9.46	321
427.224915	9.46	160
440.227099	9.46	187
445.736625	9.46	134
446.733479	9.46	134
449.245403	9.46	107
484.744431	9.46	134
485.246218	9.46	134
488.73806	9.46	134
489.24933	9.46	267
489.753875	9.46	187
534.263152	9.46	187
534.762919	9.46	80
544.260002	9.46	160
551.270171	9.46	187
560.286547	9.46	160
583.265324	9.46	826
602.623416	9.46	187
665.835883	9.46	107
